video_id,original_transcription,second_transcription,agreement_score,model_confidence,detected_language,language_probability,word_count_ratio,verification_status,final_transcription,verification_error
video_011,"CeraVe just dropped a new hyaluronic acid water gel. She's this hyaluronic acid, which is really gonna pull water into your skin. It's so good for when your skin is feeling dehydrated, but you don't want to thick, creamy moisturizer sitting on top of your skin. This is really gonna absorb right into your skin. Be light weight, but so, so refreshing. She feels so cooling on my skin. And this is actually full of ceramides that keep your skin barrier intact. It's truly such a lightweight gel texture. And that's something with really dry, but also really sensitive skin. This feels so calming, so cooling on your skin. And you can tell this is not just like a surface glow. This is a hydration that's gonna last all day because of the hyaluronic acid and also those ceramides. Just look at the skin. This is a new drop. I'm so excited about this. I'm literally gonna order more, because CeraVe really outdid themselves with this.","CeraVe just dropped a new hyaluronic acid water gel. So use this hyaluronic acid, which is really gonna pull water into your skin. This is so good for when your skin is feeling dehydrated, but you don't want a thick, creamy moisturizer sitting on top of your skin. This is really gonna absorb right into your skin. Be lightweight, but so, so refreshing. It feels so cooling on my skin. And this is actually full of ceramides that keep your skin barrier intact. It's truly such a lightweight gel texture. And as someone with really dry, but also really sensitive skin, this feels so calming, so cooling on your skin. And you can tell this is not just like a surface glow. This is a hydration that's gonna last all day because of the hyaluronic acid and also those ceramides. Just look at the skin. This is a new drop. I'm so excited about this. I'm literally gonna order more because CeraVe really outdid themselves with this.",0.9369,0.8805,en,1,0.994,verified_auto,"CeraVe just dropped a new hyaluronic acid water gel. So use this hyaluronic acid, which is really gonna pull water into your skin. This is so good for when your skin is feeling dehydrated, but you don't want a thick, creamy moisturizer sitting on top of your skin. This is really gonna absorb right into your skin. Be lightweight, but so, so refreshing. It feels so cooling on my skin. And this is actually full of ceramides that keep your skin barrier intact. It's truly such a lightweight gel texture. And as someone with really dry, but also really sensitive skin, this feels so calming, so cooling on your skin. And you can tell this is not just like a surface glow. This is a hydration that's gonna last all day because of the hyaluronic acid and also those ceramides. Just look at the skin. This is a new drop. I'm so excited about this. I'm literally gonna order more because CeraVe really outdid themselves with this.",
video_012,"Once Nana La Nana has a new name, Malala Nana break out. Never ever can have a lot of love in the next class now face. But you can sleep at peace knowing the way they come to the break up to let kapan kindikana hapangila moz. It's been a long day, so now let's cleanse our face. My makeup is not removed, so next step, cleanser. One thing I learned is that patindi harsh and cleanser more. Proven and tested kuna, the gentle cleansers work so much better for skin types like ours. My cleanser is the cereo vae foamy cleanser. If your skin is more under or off or bump inside, they also have the salicylic acid smoothing cleanser. I like my own cereo vae cleanser, it uses MVE technology. Plus, it has three essential cereal mites. So, while I'm feeling the afternoon makila moz, banabana banabana tung face moz. I'll call the whole normal, long and tight feelings of face, after makila moz. Don't gonna realize that that patindi paless quick, clean and feeling after makila moz. Because you guys, if your skin quicks, your barrier is weak. Sometimes less harsh means better skin talaga. So, if you are acne prone, oily to combination skin like me, maybe it's time to cleanse like a derm with cereo vae.","Once you've experienced the sudden breakout, you'll never be able to sleep without cleansing your face. It's like you can sleep at peace knowing that you can break out again if you don't wake up. It's been a long day, so now let's cleanse our face. My makeup is now removed, so next step, cleanser. One thing I learned is that your cleanser should not be harsh. I've proven and tested that gentle cleansers work so much better for skin types like ours. My cleanser is the CeraVe Foaming Cleanser. If your skin is more on the rough or bumpy side, they also have the Salicylic Acid Smoothing Cleanser. I like that the CeraVe cleanser uses MVE technology. Plus, it has three essential ceramides. So, there's no feeling that after you wake up, your face is really bumpy. I thought that the tight feeling in the face after waking up was normal. That's when I realized that the feeling should not be squeaky clean after waking up. Because guys, if your skin quicks, your barrier is weak. Sometimes, less harsh means better skin. So, if you are acne-prone, oily to combination skin like me, maybe it's time to cleanse like a derm with CeraVe.",0.56,0.8016,en,1,0.9231,verified_manual,"Once you've experienced the sudden breakout, you'll never be able to sleep without cleansing your face. It's like you can't sleep at peace if you don't cleanse your face. It's been a long day, so now let's cleanse our face. My makeup is now removed, so next step, cleanser. One thing I learned is that your cleanser should not be harsh. I've proven and tested that gentle cleansers work so much better for skin types like ours. My cleanser is the CeraVe Foaming Cleanser. If your skin is more on the rough or bumpy side, they also have the Salicylic Acid Smoothing Cleanser. I like that the CeraVe cleanser uses MVE Technology. Plus, it has three essential ceramides. I thought the tight feeling on my face after waking up was normal. That's when I realized that squeaky-clean feeling isn't always better. Because, guys, if your skin barrier is weak, sometimes less harsh means better skin. So, if you are acne-prone, oily, or have combination skin like me, maybe it's time to cleanse like a derm with CeraVe.",
video_013,"Everyone wants to know whether the Saravi hydrating cleanser can actually remove SPF on the skin. Well, I've got my UV light on that can show the UV filters that are on my skin. I have a feeling this will do a pretty good job. We'll start off with two generous pumps. Rub it into our hands, the massage it onto the skin. Kind of in the UV light, actually, how it's already starting to break up that UV filters on the skin. Okay, that is going to be my first cleanse. I'm going to rinse my face in the sink, come back, we'll see how much of the UV filter that actually came off the skin. Wow, okay, that actually did a really good job. It's almost pretty much all off my skin. Then I'll do literally one more cleanse. This will literally be all off. That's crazy. I knew what was going to come up, but I didn't think like on the first cleanse, the majority of it kind of came off. That was actually quite surprising to me. Now, I'll do my last rinse and my skin will be removed of all the SPF. I think it's safe to say this effectively cleans off SPF off my skin.","Everyone wants to know whether the CeraVe Hydrating Cleanser can actually remove SPF on the skin. Well I've got my UV light on that can show the UV filters that are on my skin. I have a feeling this will do a pretty good job. We'll start off with two generous pumps. Rub it into our hands then massage it on to the skin. Kind of in the UV light actually how it's already starting to break up that UV filters on the skin. Okay that is going to be my first cleanse. I'm going to rinse my face in the sink, come back, we'll see how much of the UV filter that actually came off the skin. Wow okay that actually did a really good job. It's almost pretty much all off my skin. Then I'll do literally one more cleanse. This will literally be all off. That's crazy. I knew it was going to come off but I didn't think like on the first cleanse majority of it kind of came off. That was actually quite surprising to me. Now I'll do my last rinse and my skin will be removed of all the SPF. I think it's safe to say this effectively cleans off SPF off my skin.",0.9289,0.8704,en,1,1.0,verified_auto,"Everyone wants to know whether the CeraVe Hydrating Cleanser can actually remove SPF on the skin. Well I've got my UV light on that can show the UV filters that are on my skin. I have a feeling this will do a pretty good job. We'll start off with two generous pumps. Rub it into our hands then massage it on to the skin. Kind of in the UV light actually how it's already starting to break up that UV filters on the skin. Okay that is going to be my first cleanse. I'm going to rinse my face in the sink, come back, we'll see how much of the UV filter that actually came off the skin. Wow okay that actually did a really good job. It's almost pretty much all off my skin. Then I'll do literally one more cleanse. This will literally be all off. That's crazy. I knew it was going to come off but I didn't think like on the first cleanse majority of it kind of came off. That was actually quite surprising to me. Now I'll do my last rinse and my skin will be removed of all the SPF. I think it's safe to say this effectively cleans off SPF off my skin.",
video_014,"I just finished my wash day routine with the Sara V gentle hydrating shampoo and conditioner so let's talk about it. Starting with the shampoo, I absolutely loved. We're talking about hyaluronic acid so we're talking all the good stuff for our scalp and the healthiness of our hair. When I tell you, the lather was amazing. Beyond impressed, I really loved this product by Sara V. Chef's Kiss. When onto the conditioner, I really loved the lather with this. However, I will say I was expecting to a tad bit more slippage. Love when my fingers are it was sliding through and I just trimmed my hair so I was expecting to a tad bit more. I'm gonna go ahead and rate this wash day about an 8 out of 10. I did really enjoy these products. If you guys want to see how they actually work in my hair, check out the video before this one. I have the entire wash day up there for you guys. Bye y'all!","I just finished my wash day routine with the CeraVe Gentle Hydrating Shampoo and Conditioner, so let's talk about it. Starting with the shampoo, I absolutely loved. We're talking about hyaluronic acid, so we're talking all the good stuff for our scalp and the healthiness of our hair. When I tell you the lather was amazing, beyond impressed, I really love this product by CeraVe. Chef's kiss. Moving on to the conditioner, I really love the lather with this. However, I will say I was expecting a tad bit more slippage. Both of my fingers are able to slide through, and I just trimmed my hair, so I was expecting just a tad bit more. I'm going to go ahead and rate this wash day about an 8 out of 10. I did really enjoy these products. If you guys want to see how they actually worked in my hair, check out the video before this one. I have the entire wash day up there for you guys. Bye y'all!",0.868,0.8493,en,1,0.9942,verified_auto,"I just finished my wash day routine with the CeraVe Gentle Hydrating Shampoo and Conditioner, so let's talk about it. Starting with the shampoo, I absolutely loved. We're talking about hyaluronic acid, so we're talking all the good stuff for our scalp and the healthiness of our hair. When I tell you the lather was amazing, beyond impressed, I really love this product by CeraVe. Chef's kiss. Moving on to the conditioner, I really love the lather with this. However, I will say I was expecting a tad bit more slippage. Both of my fingers are able to slide through, and I just trimmed my hair, so I was expecting just a tad bit more. I'm going to go ahead and rate this wash day about an 8 out of 10. I did really enjoy these products. If you guys want to see how they actually worked in my hair, check out the video before this one. I have the entire wash day up there for you guys. Bye y'all!",
video_015,"Recently, my skin barrier was really struggling. I'm presenting areas within my chain, my lip. The skin around there felt extremely dry, tight and very sensitive. So I started using this several moisturizing cream. It actually looks quite rich, but once you apply it, it actually feels really lightweight on the skin. It absorbs so well and leaves my skin feeling deeply hydrated without the heavy or greasy feeling. Honestly, as I noticed in improvement in my skin, really just one day, the skin around there felt hydrated, less tight and less sensitive. My skin feels calmer, more moisturized and a lot earlier.","Recently my skin barrier was really struggling, especially areas within my chin, my lip. The skin around there felt extremely dry, tight and very sensitive so I started using the CeraVe moisturizing cream. The texture looks quite rich but once you apply it, it actually feels really lightweight on the skin. It absorbs so well and leaves my skin feeling deeply hydrated without that heavy or greasy feeling. Honestly, I started noticing improvement in my skin within just one day. The skin around there felt hydrated, less tight and less sensitive. My skin feels calmer, more moisturized and a lot healthier.",0.8235,0.832,en,1,0.9806,verified_auto,"Recently my skin barrier was really struggling, especially areas within my chin, my lip. The skin around there felt extremely dry, tight and very sensitive so I started using the CeraVe moisturizing cream. The texture looks quite rich but once you apply it, it actually feels really lightweight on the skin. It absorbs so well and leaves my skin feeling deeply hydrated without that heavy or greasy feeling. Honestly, I started noticing improvement in my skin within just one day. The skin around there felt hydrated, less tight and less sensitive. My skin feels calmer, more moisturized and a lot healthier.",
video_016,"Hi Bandau Sei, it's your friend Namsa and I'm back with part 2 of my Saravis game journey. It's been about a couple of weeks now and this is how my skin is looking this morning. The drama is all day but honestly it's finally coming down. I always start my routine with the Saravis for my cleanser. What I love about this cleanser is that it is gentle. It doesn't dry out my skin and it is packed with ceramise which helps to repair the skin barrier and count my inflammation. Then I go in with the acne control gel. This one, I take it's breakouts, help with the fade, dark marks and smoothen my texture. And I always finish off with the hydrating serum for moisture, softness and that healthy glow. And this is how my skin looks after washing. Fresh, clean and waking up with me. Stay tuned for part 3 and the next chapter of my skin drama and the full on its progress.","Hi Bandase, it's your friend Namla and I'm back with part 2 of my CeraVe Skin Journey. It's been about a couple of weeks now and this is how my skin is looking this morning. The drama is all there but honestly it's finally calming down. I always start my routine with the CeraVe Foaming Cleanser. What I love about this cleanser is that it is gentle, it doesn't dry out my skin and it is packed with ceramides which helps repair the skin barrier and calms my inflammation. Then I go in with the acne control gel. This one targets breakouts, helps with the fade dark marks and smoothens my texture. And I always finish off with the hydrating serum for moisture, softness and that healthy glow. And this is how my skin looks after washing. Fresh, clean and waking up with me. Stay tuned for part 3 on the next chapter of my skin drama and the full honest progress.",0.8727,0.8492,en,1,0.9643,verified_auto,"Hi Bandase, it's your friend Namla and I'm back with part 2 of my CeraVe Skin Journey. It's been about a couple of weeks now and this is how my skin is looking this morning. The drama is all there but honestly it's finally calming down. I always start my routine with the CeraVe Foaming Cleanser. What I love about this cleanser is that it is gentle, it doesn't dry out my skin and it is packed with ceramides which helps repair the skin barrier and calms my inflammation. Then I go in with the acne control gel. This one targets breakouts, helps with the fade dark marks and smoothens my texture. And I always finish off with the hydrating serum for moisture, softness and that healthy glow. And this is how my skin looks after washing. Fresh, clean and waking up with me. Stay tuned for part 3 on the next chapter of my skin drama and the full honest progress.",
video_017,"Add in another sunscreen to the roster so you don't have to guess if there's what's on our skin We have several of these new invisible hydrates in sunscreen which retails for around 14 pounds at boops the last time I checked This has a sun protection factor or 50 texture wise I would say this sits more in the moisturizer kind of realm It is quite nourishing and hydrates in but also has these skin softening vibe to it It absorbs quite nicely into the skin and it doesn't feel thick or heavy No white cars, it doesn't sting the eyes and I will say the finish is quite chewy Dry to combination skin will enjoy this however those of oily skin the shine does build And it will look like they fried small chocolate on your face by the end of the day","Add in another sunscreen to the roster so you don't have to guess if this works on our skin. We have CeraVe's new Invisible Hydrating Sunscreen which retails for around £14 at Boots the last time I checked. This has a sun protection factor of 50. Texture wise I would say this sits more in the moisturiser kind of realm. It is quite nourishing and hydrating but also has a skin softening vibe to it. Absorbs quite nicely into the skin and it doesn't feel thick or heavy. No white cast, it doesn't sting the eyes and I will say the finish is quite dewy. Dry to combination skin will enjoy this however those with oily skin, the shine does build and it will look like they've fried small jobs on your face by the end of the day.",0.8169,0.8833,en,1,0.9586,verified_auto,"Add in another sunscreen to the roster so you don't have to guess if this works on our skin. We have CeraVe's new Invisible Hydrating Sunscreen which retails for around £14 at Boots the last time I checked. This has a sun protection factor of 50. Texture wise I would say this sits more in the moisturiser kind of realm. It is quite nourishing and hydrating but also has a skin softening vibe to it. Absorbs quite nicely into the skin and it doesn't feel thick or heavy. No white cast, it doesn't sting the eyes and I will say the finish is quite dewy. Dry to combination skin will enjoy this however those with oily skin, the shine does build and it will look like they've fried small jobs on your face by the end of the day.",
video_018,"It's 2025 guys, there's a cleanser for every skin type, let's get into it. What you need to know about the happy cleansers is that they are developed with dermatologist. All of them contain the 3 essential ceramides, even if it's for every skin type, for the face, for the body, to help restore your skin barrier and keep your moisture locked in and not strip any of the oils on your face. Let's start with the hydrating cleanser, which is the most hydrating of them all. It has a creamy texture and it's great for people with very dry skin or post laser procedures. The forming cleanser is a bit for every skin type, every condition. It's going to remove the excess oil and the excess pollution from your face. The salicylic acid soothing cleanser is going to exfoliate your skin without tripping it's not your barrier. The blemish control cleanser is going to help treat and prevent new acne break-up without disrupting the skin barrier again. Thank you for watching guys, if you're comments in the comments section.","It's 2025 guys, there's a cleanser for every skin type. Let's get into it. What you need to know about CeraVe cleansers is that they are developed with dermatologists. All of them contain the three essential ceramides, even if it's for every skin type, for the face, for the body, to help restore your skin barrier and keep your moisture locked in and not strip any of the oils on your face. Let's start with the hydrating cleanser, which is the most hydrating of them all. It has a creamy texture and it's great for people with very dry skin or post laser procedures. The foaming cleanser is a bit for every skin type, every condition. It's going to remove the excess oil and the excess pollution from your face. The salicylic acid soothing cleanser is going to exfoliate your skin without stripping its natural barrier. The blemish control cleanser is going to help treat and prevent new acne breakouts without disrupting the skin barrier again. Thank you for watching, guys. Leave your comments in the comments section.",0.9218,0.8761,en,1,0.9889,verified_auto,"It's 2025 guys, there's a cleanser for every skin type. Let's get into it. What you need to know about CeraVe cleansers is that they are developed with dermatologists. All of them contain the three essential ceramides, even if it's for every skin type, for the face, for the body, to help restore your skin barrier and keep your moisture locked in and not strip any of the oils on your face. Let's start with the hydrating cleanser, which is the most hydrating of them all. It has a creamy texture and it's great for people with very dry skin or post laser procedures. The foaming cleanser is a bit for every skin type, every condition. It's going to remove the excess oil and the excess pollution from your face. The salicylic acid soothing cleanser is going to exfoliate your skin without stripping its natural barrier. The blemish control cleanser is going to help treat and prevent new acne breakouts without disrupting the skin barrier again. Thank you for watching, guys. Leave your comments in the comments section.",
video_019,"Trying to choose between C to fill or serravie is a board certified dermatologist who loves both. Let me break down the difference. C to fill daily facial cleanser is made more for oily or combination skin. It lightly foams and gives you that super clean feeling without completely stripping your skin. And the ingredients are pretty good. Nice cinema that clams down redness and controls oil, vitamin B5 which suits the skin and blistering to lock in that moisturizer. Now serravie hydrating facial cleanser is basically the opposite vibe. It's creamier, it doesn't really foam, it's better for dry or sensitive skin. It's the one I use because I've really dry or sensitive skin. Start ingredients are ceramize which help repair your skin barrier, hyaluronic acid that gives you hydration, and blister into lock in the moisturizer so you don't feel tight from washing. If your skin gets oily during the day, go with C to fill. If your skin fills dry, you're irritated or tight after cleansing. Seravie is probably your better option. Either one is universally better. It just really depends on your skin type. This is a little more expensive around $13 and this is more like $9. Follow me so that you never make a mistake about skincare again.","Trying to choose between Cetaphil or CeraVe? As a board certified dermatologist who loves both, let me break down the difference. Cetaphil Daily Facial Cleanser is made more for oily or combination skin. It lightly foams and gives you that super clean feeling without completely stripping your skin. And the ingredients are pretty good. Niacinamide that calms down redness and controls oil. Vitamin B5 which soothes the skin and glycerin to lock in that moisturizer. Now CeraVe Hydrating Facial Cleanser is basically the opposite vibe. It's creamier. It doesn't really foam. It's better for dry or sensitive skin. It's the one I use because I have really dry or sensitive skin. The start ingredients are ceramides which help repair your skin barrier. Hyaluronic Acid that gives you hydration. And glycerin to lock in the moisture so you don't feel tight from washing. If your skin gets oily during the day, go with Cetaphil. If your skin feels dry, irritated, or tight after cleansing, CeraVe is probably your better option. Neither one is universally better. It just really depends on your skin type. This is a little more expensive, around $13, and this is more like $9. Follow me so that you never make a mistake about skincare again.",0.8152,0.9071,en,1,0.972,verified_auto,"Trying to choose between Cetaphil or CeraVe? As a board certified dermatologist who loves both, let me break down the difference. Cetaphil Daily Facial Cleanser is made more for oily or combination skin. It lightly foams and gives you that super clean feeling without completely stripping your skin. And the ingredients are pretty good. Niacinamide that calms down redness and controls oil. Vitamin B5 which soothes the skin and glycerin to lock in that moisturizer. Now CeraVe Hydrating Facial Cleanser is basically the opposite vibe. It's creamier. It doesn't really foam. It's better for dry or sensitive skin. It's the one I use because I have really dry or sensitive skin. The start ingredients are ceramides which help repair your skin barrier. Hyaluronic Acid that gives you hydration. And glycerin to lock in the moisture so you don't feel tight from washing. If your skin gets oily during the day, go with Cetaphil. If your skin feels dry, irritated, or tight after cleansing, CeraVe is probably your better option. Neither one is universally better. It just really depends on your skin type. This is a little more expensive, around $13, and this is more like $9. Follow me so that you never make a mistake about skincare again.",
video_020,"This is Sarah B's brand new invisible hydrating sunscreen for your face and your body and it's on Sarah and I on TikTok shop. It has no white casting residue and just look at that, it instantly sinks into your skin. This one definitely freshens up your skin and just look at that below that you get afterwards. Even though three essential seramels help repair your skin barrier as well. You want to guide it for yourself? I will leave links down below in the orange basket on the left for you.","This is CeraVe's brand new invisible hydrating sunscreen for your face and your body. And it's on sale right now on TikTok shop. It has no white casting residue and just look at that. It instantly sinks into your skin. This one definitely freshens up your skin and just look at that below that you get afterwards. It's even got three essential ceramides to help repair your skin barrier as well. You wanna grab it for yourself, I will leave it linked down below in the orange basket on the left for you.",0.8432,0.8313,en,1,0.9892,verified_auto,"This is CeraVe's brand new invisible hydrating sunscreen for your face and your body. And it's on sale right now on TikTok shop. It has no white casting residue and just look at that. It instantly sinks into your skin. This one definitely freshens up your skin and just look at that below that you get afterwards. It's even got three essential ceramides to help repair your skin barrier as well. You wanna grab it for yourself, I will leave it linked down below in the orange basket on the left for you.",
video_021,"I cleanse my face with the syrup of foam and cleanser to wash away dirt, oil, and everything my skin is picked up throughout the day. Then I gently pat my face dry with a clean paper towel. Next, I apply the Sarajam moisturizing cream to deeply hydrate my skin and help support my skin barrier overnight. A simple routine that leaves my skin feeling clean, soft, and hydrated.","I cleanse my face with the CeraVe Foaming Cleanser to wash away dirt, oil, and everything my skin has picked up throughout the day. Then I gently pat my face dry with a clean paper towel. Next, I apply the CeraVe Moisturizing Cream to deeply hydrate my skin and help support my skin barrier overnight. A simple routine that leaves my skin feeling clean, soft, and hydrated.",0.9265,0.8121,en,1,0.971,verified_auto,"I cleanse my face with the CeraVe Foaming Cleanser to wash away dirt, oil, and everything my skin has picked up throughout the day. Then I gently pat my face dry with a clean paper towel. Next, I apply the CeraVe Moisturizing Cream to deeply hydrate my skin and help support my skin barrier overnight. A simple routine that leaves my skin feeling clean, soft, and hydrated.",
video_022,"If your back is looking like this or your arms are looking like this, you're not dirty, you're just not using the right cleanse. You've tried all of the scribes, all of the creams and all of the lotions and nothing seems to be tackling your story arms. Don't worry, I completely get you. My arms have always been very, very short-reelite, literally since I was a child. But we are tackling it and using an exfoliating cleanser. Particularly love this essays, even cleanser, my therapy, because not only has it got yours to look at it, but exfoliated, but it's also got hyaluronic acid that can really help hydrate the skin afterwards. We're very much a work and progress, but the difference, I've noticed in the past few weeks that this is insane. I've got it from TikTok, so I'll be about that a little bit cheaper than anywhere else. I'll drop them down there so you can have a look at yourself.","If your back is looking like this, or your arms are looking like this, you're not dirty, you're just not using the right cleanser. You've tried all of the scrubs, all of the creams, and all of the lotions, and nothing seems to be tackling your strawberry arms. Don't worry, I completely get you. My arms have always been very, very strawberry-like, literally since I was a child, but we are tackling it and using an exfoliating cleanser. I particularly love this SA Soothing Cleanser by CeraVe, because not only has it got your salicylic acid flat exfoliating, but it's also got hyaluronic acid that can really help hydrate the skin afterwards. We're very much a work in progress, but the difference, I've noticed in the past few weeks, this is insane. I've got it from TikTok shop, it works out a little bit cheaper than anywhere else. I'll drop the link down there for you to have a look for yourself.",0.8037,0.826,en,1,0.9878,verified_auto,"If your back is looking like this, or your arms are looking like this, you're not dirty, you're just not using the right cleanser. You've tried all of the scrubs, all of the creams, and all of the lotions, and nothing seems to be tackling your strawberry arms. Don't worry, I completely get you. My arms have always been very, very strawberry-like, literally since I was a child, but we are tackling it and using an exfoliating cleanser. I particularly love this SA Soothing Cleanser by CeraVe, because not only has it got your salicylic acid flat exfoliating, but it's also got hyaluronic acid that can really help hydrate the skin afterwards. We're very much a work in progress, but the difference, I've noticed in the past few weeks, this is insane. I've got it from TikTok shop, it works out a little bit cheaper than anywhere else. I'll drop the link down there for you to have a look for yourself.",
video_023,"Let's talk about this wrong way. The CeraVe retinol resurfacing serum with three essential seram lines. Anyways, and licorice root and niacinamide, three essential seram lines, I would definitely love to know what they mean by essential and how those are essential, but marketing, I don't imagine. This right here is licorice root, retinol that's encapsulated, and you also get your niacinamide, so a skin strengthening, bear repairing, slash oil controlling, niacinamide, a basically a multitasking ingredient. It does a little bit of everything, and we have our licorice root to help with any kind of dark-sponsored brining. It's not a bad formula, but the retinol inside here is so harsh at times that you feel like the assid mantle your skin is going to be kind of inflamed or irritated, and for that reason, I don't really care for it either.","Let's talk about this. Wrong way. The CeraVe Retinol Resurfacing Serum with three essential serum lines. Anyways, and Licorice Root and Niacinamide. Three essential serum lines. I would definitely love to know what they mean by essential and how those are essential, but marketing, I'd imagine. And this right here is Licorice Root, a retinol that's encapsulated and you also get your niacinamide. So, a skin strengthening, barrier repairing, slash oil controlling niacinamide. Basically a multitasking ingredient. Does a little bit of everything and we have our Licorice Root top with any kind of like dark spots brightening. It's not a bad formula, but the retinol inside of here is so harsh at times that you feel like the acid mantle of your skin is going to be kind of inflamed or irritated. And for that reason, I don't really care for it either.",0.8392,0.8125,en,1,0.9861,verified_auto,"Let's talk about this. Wrong way. The CeraVe Retinol Resurfacing Serum with three essential serum lines. Anyways, and Licorice Root and Niacinamide. Three essential serum lines. I would definitely love to know what they mean by essential and how those are essential, but marketing, I'd imagine. And this right here is Licorice Root, a retinol that's encapsulated and you also get your niacinamide. So, a skin strengthening, barrier repairing, slash oil controlling niacinamide. Basically a multitasking ingredient. Does a little bit of everything and we have our Licorice Root top with any kind of like dark spots brightening. It's not a bad formula, but the retinol inside of here is so harsh at times that you feel like the acid mantle of your skin is going to be kind of inflamed or irritated. And for that reason, I don't really care for it either.",
video_024,"Rating every single one of the Saravi cleansers, which ones to get and which ones to avoid. I think out of all the Saravi cleansers, this cream to foam wine is my favourite. It's super gentle, it feels really nice to use. It's foaming but it's not too drying. 8 out of 10. I feel like the foaming cleanser is still good but I don't feel like it's as good as the cream to foam and I'm not sure why you'd buy this when you could buy that. It's nice but it's a little bit more drying than the cream to foam so I'd still get that one. This doesn't absolutely nothing for me and in fact it stings my skin which is really bizarre. I remember when I got this and I was so excited to try it and then I was so disappointed after the first use. I wasn't clean makeup off very well, barely even clean the skin without makeup on it so 4 out of 10, 7 out of 10. I'd give this one an 8 out of 10 as well. It's not a true oil cleanser so I would use an oil cleanser before it but it's not drying and it feels quite nice to use. And we've got the two exfoliating ones, the blemish control and the salicylic smoothing. Now I know everyone's going to say oh you don't like this one and don't get me wrong. I don't like this one but if you use it sparingly like a treatment it can be effective. I just think there are better cleansers out there and considering this one and that one aren't really that different. I would always pick this one because they're nice and mild and I find it a little bit more moisturizing than that one which can be quite drying. 6 out of 10, 7 out of 10. And if you like this kind of no bullshit to the point skincare advice then you found the right place because it's all I make.","Rating every single one of the CeraVe cleansers. Which ones to get and which ones to avoid? I think out of all the CeraVe cleansers, this cream to foam one is my favorite. It's super gentle, it feels really nice to use. It's foaming, but it's not too drying. Eight out of 10. I feel like the foaming cleanser is still good, but I don't feel like it's as good as the cream to foam and I'm not sure why you'd buy this when you could buy that. It is nice, but it's a little bit more drying than the cream to foam, so I'd still get that one. This does absolutely nothing for me and in fact, it stings my skin, which is really bizarre. Remember when I got this and I was so excited to try it and then I was so disappointed after the first use. Doesn't clean makeup off very well, barely even clean skin without makeup on it, so four out of 10, seven out of 10. I'd give this one an eight out of 10 as well. It's not a true oil cleanser, so I would use an oil cleanser before it, but it's not drying and it feels quite nice to use. Then we've got the two exfoliating ones, the blemish control and the salicylic smoothing. Now I know everyone's gonna say, oh, you don't like this one and don't get me wrong, I don't like this one, but if you use it sparingly, like a treatment, it can be effective. I just think there are better cleansers out there and considering this one and that one aren't really that different, I would always pick this one because I like the niacinamide and I find it a little bit more moisturizing than that one which can be quite drying. Six out of 10, seven out of 10. And if you like this kind of no bullshit to the point skincare advice, then you've found the right place because it's all I make.",0.8752,0.9056,en,1,0.9912,verified_auto,"Rating every single one of the CeraVe cleansers. Which ones to get and which ones to avoid? I think out of all the CeraVe cleansers, this cream to foam one is my favorite. It's super gentle, it feels really nice to use. It's foaming, but it's not too drying. Eight out of 10. I feel like the foaming cleanser is still good, but I don't feel like it's as good as the cream to foam and I'm not sure why you'd buy this when you could buy that. It is nice, but it's a little bit more drying than the cream to foam, so I'd still get that one. This does absolutely nothing for me and in fact, it stings my skin, which is really bizarre. Remember when I got this and I was so excited to try it and then I was so disappointed after the first use. Doesn't clean makeup off very well, barely even clean skin without makeup on it, so four out of 10, seven out of 10. I'd give this one an eight out of 10 as well. It's not a true oil cleanser, so I would use an oil cleanser before it, but it's not drying and it feels quite nice to use. Then we've got the two exfoliating ones, the blemish control and the salicylic smoothing. Now I know everyone's gonna say, oh, you don't like this one and don't get me wrong, I don't like this one, but if you use it sparingly, like a treatment, it can be effective. I just think there are better cleansers out there and considering this one and that one aren't really that different, I would always pick this one because I like the niacinamide and I find it a little bit more moisturizing than that one which can be quite drying. Six out of 10, seven out of 10. And if you like this kind of no bullshit to the point skincare advice, then you've found the right place because it's all I make.",
video_025,"quick little review, but I am going to be returning this CeraVe. cleansing balm. I love CeraVe, so nothing against the brand, but this product is not a win for me. In my opinion, this absolutely leaves a little bit of like an oily residue. It doesn't feel like it rinses clean to me, so this is going back.","Quick little review, but I am going to be returning this CeraVe Cleansing Balm. I love CeraVe, so nothing against the brand, but this product is not a win for me. In my opinion, this absolutely leaves a little bit of like an oily residue. It doesn't feel like it rinses clean to me, so this is going back.",0.9831,0.861,en,1,1.0,verified_auto,"Quick little review, but I am going to be returning this CeraVe Cleansing Balm. I love CeraVe, so nothing against the brand, but this product is not a win for me. In my opinion, this absolutely leaves a little bit of like an oily residue. It doesn't feel like it rinses clean to me, so this is going back.",
